Time	Node	Type	Packets	
2	l5-12	CacheMisses	0
2	l5-13	CacheHits	0
2	l5-13	CacheMisses	0
2	l5-14	CacheHits	0
2	l5-14	CacheMisses	0
2	l5-15	CacheHits	0
2	l5-15	CacheMisses	0
2	l5-16	CacheHits	0
2	l5-16	CacheMisses	0
2	l5-17	CacheHits	0
2	l5-17	CacheMisses	0
2	l5-18	CacheHits	0
2	l5-18	CacheMisses	0
2	l5-19	CacheHits	0
2	l5-19	CacheMisses	0
2	l5-20	CacheHits	0
2	l5-20	CacheMisses	0
2	l5-21	CacheHits	0
2	l5-21	CacheMisses	0
2	l5-22	CacheHits	0
2	l5-22	CacheMisses	0
2	l5-23	CacheHits	0
2	l5-23	CacheMisses	0
2	l5-24	CacheHits	0
2	l5-24	CacheMisses	0
2	l5-25	CacheHits	0
2	l5-25	CacheMisses	0
2	l5-26	CacheHits	0
2	l5-26	CacheMisses	0
2	l5-27	CacheHits	0
2	l5-27	CacheMisses	0
2	l5-28	CacheHits	0
2	l5-28	CacheMisses	0
2	l5-29	CacheHits	0
2	l5-29	CacheMisses	0
2	l5-30	CacheHits	0
2	l5-30	CacheMisses	0
2	l5-31	CacheHits	0
2	l5-31	CacheMisses	0
2	l5-32	CacheHits	0
2	l5-32	CacheMisses	0
2	l6-1	CacheHits	298
2	l6-1	CacheMisses	12
2	l6-2	CacheHits	327
2	l6-2	CacheMisses	10
2	l6-3	CacheHits	296
2	l6-3	CacheMisses	13
2	l6-4	CacheHits	254
2	l6-4	CacheMisses	16
2	l6-5	CacheHits	277
2	l6-5	CacheMisses	26
2	l6-6	CacheHits	270
2	l6-6	CacheMisses	32
2	l6-7	CacheHits	253
2	l6-7	CacheMisses	33
2	l6-8	CacheHits	248
2	l6-8	CacheMisses	33
2	l6-9	CacheHits	277
2	l6-9	CacheMisses	54
2	l6-10	CacheHits	223
2	l6-10	CacheMisses	60
2	l6-11	CacheHits	237
2	l6-11	CacheMisses	82
2	l6-12	CacheHits	205
2	l6-12	CacheMisses	86
2	l6-13	CacheHits	160
2	l6-13	CacheMisses	82
2	l6-14	CacheHits	139
2	l6-14	CacheMisses	78
2	l6-15	CacheHits	98
2	l6-15	CacheMisses	72
2	l6-16	CacheHits	86
2	l6-16	CacheMisses	69
2	l6-17	CacheHits	65
2	l6-17	CacheMisses	58
2	l6-18	CacheHits	25
2	l6-18	CacheMisses	51
2	l6-19	CacheHits	22
2	l6-19	CacheMisses	38
2	l6-20	CacheHits	5
2	l6-20	CacheMisses	23
2	l6-21	CacheHits	0
2	l6-21	CacheMisses	0
2	l6-22	CacheHits	0
2	l6-22	CacheMisses	0
2	l6-23	CacheHits	0
2	l6-23	CacheMisses	0
2	l6-24	CacheHits	0
2	l6-24	CacheMisses	0
2	l6-25	CacheHits	0
2	l6-25	CacheMisses	0
2	l6-26	CacheHits	0
2	l6-26	CacheMisses	0
2	l6-27	CacheHits	0
2	l6-27	CacheMisses	0
2	l6-28	CacheHits	0
2	l6-28	CacheMisses	0
2	l6-29	CacheHits	0
2	l6-29	CacheMisses	0
2	l6-30	CacheHits	0
2	l6-30	CacheMisses	0
2	l6-31	CacheHits	0
2	l6-31	CacheMisses	0
2	l6-32	CacheHits	0
2	l6-32	CacheMisses	0
2	l6-33	CacheHits	0
2	l6-33	CacheMisses	0
2	l6-34	CacheHits	0
2	l6-34	CacheMisses	0
2	l6-35	CacheHits	0
2	l6-35	CacheMisses	0
2	l6-36	CacheHits	0
2	l6-36	CacheMisses	0
2	l6-37	CacheHits	0
2	l6-37	CacheMisses	0
2	l6-38	CacheHits	0
2	l6-38	CacheMisses	0
2	l6-39	CacheHits	0
2	l6-39	CacheMisses	0
2	l6-40	CacheHits	0
2	l6-40	CacheMisses	0
2	l6-41	CacheHits	0
2	l6-41	CacheMisses	0
2	l6-42	CacheHits	0
2	l6-42	CacheMisses	0
2	l6-43	CacheHits	0
2	l6-43	CacheMisses	0
2	l6-44	CacheHits	0
2	l6-44	CacheMisses	0
2	l6-45	CacheHits	0
2	l6-45	CacheMisses	0
2	l6-46	CacheHits	0
2	l6-46	CacheMisses	0
2	l6-47	CacheHits	0
2	l6-47	CacheMisses	0
2	l6-48	CacheHits	0
2	l6-48	CacheMisses	0
2	l6-49	CacheHits	0
2	l6-49	CacheMisses	0
2	l6-50	CacheHits	0
2	l6-50	CacheMisses	0
2	l6-51	CacheHits	0
2	l6-51	CacheMisses	0
2	l6-52	CacheHits	0
2	l6-52	CacheMisses	0
2	l6-53	CacheHits	0
2	l6-53	CacheMisses	0
2	l6-54	CacheHits	0
2	l6-54	CacheMisses	0
2	l6-55	CacheHits	0
2	l6-55	CacheMisses	0
2	l6-56	CacheHits	0
2	l6-56	CacheMisses	0
2	l6-57	CacheHits	0
2	l6-57	CacheMisses	0
2	l6-58	CacheHits	0
2	l6-58	CacheMisses	0
2	l6-59	CacheHits	0
2	l6-59	CacheMisses	0
2	l6-60	CacheHits	0
2	l6-60	CacheMisses	0
2	l6-61	CacheHits	0
2	l6-61	CacheMisses	0
2	l6-62	CacheHits	0
2	l6-62	CacheMisses	0
2	l6-63	CacheHits	0
2	l6-63	CacheMisses	0
2	l6-64	CacheHits	0
2	l6-64	CacheMisses	0
3	root	CacheHits	0
3	root	CacheMisses	0
3	l1-1	CacheHits	10
3	l1-1	CacheMisses	0
3	l1-2	CacheHits	0
3	l1-2	CacheMisses	0
3	l2-1	CacheHits	0
3	l2-1	CacheMisses	0
3	l2-2	CacheHits	99
3	l2-2	CacheMisses	10
3	l2-3	CacheHits	0
3	l2-3	CacheMisses	0
3	l2-4	CacheHits	0
3	l2-4	CacheMisses	0
3	l3-1	CacheHits	0
3	l3-1	CacheMisses	0
3	l3-2	CacheHits	2
3	l3-2	CacheMisses	0
3	l3-3	CacheHits	100
3	l3-3	CacheMisses	10
3	l3-4	CacheHits	52
3	l3-4	CacheMisses	99
3	l3-5	CacheHits	0
3	l3-5	CacheMisses	0
3	l3-6	CacheHits	0
3	l3-6	CacheMisses	0
3	l3-7	CacheHits	0
3	l3-7	CacheMisses	0
3	l3-8	CacheHits	0
3	l3-8	CacheMisses	0
3	l4-1	CacheHits	0
3	l4-1	CacheMisses	0
3	l4-2	CacheHits	2
3	l4-2	CacheMisses	0
3	l4-3	CacheHits	8
3	l4-3	CacheMisses	1
3	l4-4	CacheHits	14
3	l4-4	CacheMisses	1
3	l4-5	CacheHits	66
3	l4-5	CacheMisses	10
3	l4-6	CacheHits	88
3	l4-6	CacheMisses	100
3	l4-7	CacheHits	68
3	l4-7	CacheMisses	99
3	l4-8	CacheHits	0
3	l4-8	CacheMisses	52
3	l4-9	CacheHits	0
3	l4-9	CacheMisses	0
3	l4-10	CacheHits	0
3	l4-10	CacheMisses	0
3	l4-11	CacheHits	0
3	l4-11	CacheMisses	0
3	l4-12	CacheHits	0
3	l4-12	CacheMisses	0
3	l4-13	CacheHits	0
3	l4-13	CacheMisses	0
3	l4-14	CacheHits	0
3	l4-14	CacheMisses	0
3	l4-15	CacheHits	0
3	l4-15	CacheMisses	0
3	l4-16	CacheHits	0
3	l4-16	CacheMisses	0
3	l5-1	CacheHits	4
3	l5-1	CacheMisses	0
3	l5-2	CacheHits	3
3	l5-2	CacheMisses	0
3	l5-3	CacheHits	8
3	l5-3	CacheMisses	0
3	l5-4	CacheHits	11
3	l5-4	CacheMisses	2
3	l5-5	CacheHits	15
3	l5-5	CacheMisses	3
3	l5-6	CacheHits	21
3	l5-6	CacheMisses	6
3	l5-7	CacheHits	26
3	l5-7	CacheMisses	6
3	l5-8	CacheHits	33
3	l5-8	CacheMisses	9
3	l5-9	CacheHits	54
3	l5-9	CacheMisses	24
3	l5-10	CacheHits	66
3	l5-10	CacheMisses	52
3	l5-11	CacheHits	74
3	l5-11	CacheMisses	95
3	l5-12	CacheHits	61
3	l5-12	CacheMisses	94
3	l5-13	CacheHits	49
3	l5-13	CacheMisses	92
3	l5-14	CacheHits	34
3	l5-14	CacheMisses	77
3	l5-15	CacheHits	9
3	l5-15	CacheMisses	52
3	l5-16	CacheHits	0
3	l5-16	CacheMisses	0
3	l5-17	CacheHits	0
3	l5-17	CacheMisses	0
3	l5-18	CacheHits	0
3	l5-18	CacheMisses	0
3	l5-19	CacheHits	0
3	l5-19	CacheMisses	0
3	l5-20	CacheHits	0
3	l5-20	CacheMisses	0
3	l5-21	CacheHits	0
3	l5-21	CacheMisses	0
3	l5-22	CacheHits	0
3	l5-22	CacheMisses	0
3	l5-23	CacheHits	0
3	l5-23	CacheMisses	0
3	l5-24	CacheHits	0
3	l5-24	CacheMisses	0
3	l5-25	CacheHits	0
3	l5-25	CacheMisses	0
3	l5-26	CacheHits	0
3	l5-26	CacheMisses	0
3	l5-27	CacheHits	0
3	l5-27	CacheMisses	0
3	l5-28	CacheHits	0
3	l5-28	CacheMisses	0
3	l5-29	CacheHits	0
3	l5-29	CacheMisses	0
3	l5-30	CacheHits	0
3	l5-30	CacheMisses	0
3	l5-31	CacheHits	0
3	l5-31	CacheMisses	0
3	l5-32	CacheHits	0
3	l5-32	CacheMisses	0
3	l6-1	CacheHits	323
3	l6-1	CacheMisses	3
3	l6-2	CacheHits	309
3	l6-2	CacheMisses	1
3	l6-3	CacheHits	283
3	l6-3	CacheMisses	0
3	l6-4	CacheHits	297
3	l6-4	CacheMisses	3
3	l6-5	CacheHits	309
3	l6-5	CacheMisses	3
3	l6-6	CacheHits	322
3	l6-6	CacheMisses	5
3	l6-7	CacheHits	297
3	l6-7	CacheMisses	7
3	l6-8	CacheHits	296
3	l6-8	CacheMisses	6
3	l6-9	CacheHits	255
3	l6-9	CacheMisses	10
3	l6-10	CacheHits	297
3	l6-10	CacheMisses	8
3	l6-11	CacheHits	304
3	l6-11	CacheMisses	17
3	l6-12	CacheHits	279
3	l6-12	CacheMisses	10
3	l6-13	CacheHits	277
3	l6-13	CacheMisses	14
3	l6-14	CacheHits	269
3	l6-14	CacheMisses	18
3	l6-15	CacheHits	270
3	l6-15	CacheMisses	20
3	l6-16	CacheHits	279
3	l6-16	CacheMisses	22
3	l6-17	CacheHits	243
3	l6-17	CacheMisses	36
3	l6-18	CacheHits	250
3	l6-18	CacheMisses	42
3	l6-19	CacheHits	246
3	l6-19	CacheMisses	52
3	l6-20	CacheHits	248
3	l6-20	CacheMisses	66
3	l6-21	CacheHits	228
3	l6-21	CacheMisses	86
3	l6-22	CacheHits	188
3	l6-22	CacheMisses	87
3	l6-23	CacheHits	153
3	l6-23	CacheMisses	86
3	l6-24	CacheHits	127
3	l6-24	CacheMisses	72
3	l6-25	CacheHits	127
3	l6-25	CacheMisses	81
3	l6-26	CacheHits	83
3	l6-26	CacheMisses	64
3	l6-27	CacheHits	66
3	l6-27	CacheMisses	67
3	l6-28	CacheHits	38
3	l6-28	CacheMisses	46
3	l6-29	CacheHits	17
3	l6-29	CacheMisses	34
3	l6-30	CacheHits	2
3	l6-30	CacheMisses	29
3	l6-31	CacheHits	0
3	l6-31	CacheMisses	0
3	l6-32	CacheHits	0
3	l6-32	CacheMisses	0
3	l6-33	CacheHits	0
3	l6-33	CacheMisses	0
3	l6-34	CacheHits	0
3	l6-34	CacheMisses	0
3	l6-35	CacheHits	0
3	l6-35	CacheMisses	0
3	l6-36	CacheHits	0
3	l6-36	CacheMisses	0
3	l6-37	CacheHits	0
3	l6-37	CacheMisses	0
3	l6-38	CacheHits	0
3	l6-38	CacheMisses	0
3	l6-39	CacheHits	0
3	l6-39	CacheMisses	0
3	l6-40	CacheHits	0
3	l6-40	CacheMisses	0
3	l6-41	CacheHits	0
3	l6-41	CacheMisses	0
3	l6-42	CacheHits	0
3	l6-42	CacheMisses	0
3	l6-43	CacheHits	0
3	l6-43	CacheMisses	0
3	l6-44	CacheHits	0
3	l6-44	CacheMisses	0
3	l6-45	CacheHits	0
3	l6-45	CacheMisses	0
3	l6-46	CacheHits	0
3	l6-46	CacheMisses	0
3	l6-47	CacheHits	0
3	l6-47	CacheMisses	0
3	l6-48	CacheHits	0
3	l6-48	CacheMisses	0
3	l6-49	CacheHits	0
3	l6-49	CacheMisses	0
3	l6-50	CacheHits	0
3	l6-50	CacheMisses	0
3	l6-51	CacheHits	0
3	l6-51	CacheMisses	0
3	l6-52	CacheHits	0
3	l6-52	CacheMisses	0
3	l6-53	CacheHits	0
3	l6-53	CacheMisses	0
3	l6-54	CacheHits	0
3	l6-54	CacheMisses	0
3	l6-55	CacheHits	0
3	l6-55	CacheMisses	0
3	l6-56	CacheHits	0
3	l6-56	CacheMisses	0
3	l6-57	CacheHits	0
3	l6-57	CacheMisses	0
3	l6-58	CacheHits	0
3	l6-58	CacheMisses	0
3	l6-59	CacheHits	0
3	l6-59	CacheMisses	0
3	l6-60	CacheHits	0
3	l6-60	CacheMisses	0
3	l6-61	CacheHits	0
3	l6-61	CacheMisses	0
3	l6-62	CacheHits	0
3	l6-62	CacheMisses	0
3	l6-63	CacheHits	0
3	l6-63	CacheMisses	0
3	l6-64	CacheHits	0
3	l6-64	CacheMisses	0
4	root	CacheHits	99
4	root	CacheMisses	0
4	l1-1	CacheHits	0
4	l1-1	CacheMisses	0
4	l1-2	CacheHits	0
4	l1-2	CacheMisses	99
4	l2-1	CacheHits	0
4	l2-1	CacheMisses	0
4	l2-2	CacheHits	1
4	l2-2	CacheMisses	0
4	l2-3	CacheHits	0
4	l2-3	CacheMisses	99
4	l2-4	CacheHits	0
4	l2-4	CacheMisses	0
4	l3-1	CacheHits	0
4	l3-1	CacheMisses	0
4	l3-2	CacheHits	0
4	l3-2	CacheMisses	0
4	l3-3	CacheHits	0
4	l3-3	CacheMisses	0
4	l3-4	CacheHits	48
4	l3-4	CacheMisses	1
4	l3-5	CacheHits	90
4	l3-5	CacheMisses	99
4	l3-6	CacheHits	0
4	l3-6	CacheMisses	0
4	l3-7	CacheHits	0
4	l3-7	CacheMisses	0
4	l3-8	CacheHits	0
4	l3-8	CacheMisses	0
4	l4-1	CacheHits	0
4	l4-1	CacheMisses	0
4	l4-2	CacheHits	0
4	l4-2	CacheMisses	0
4	l4-3	CacheHits	0
4	l4-3	CacheMisses	0
4	l4-4	CacheHits	1
4	l4-4	CacheMisses	0
4	l4-5	CacheHits	2
4	l4-5	CacheMisses	0
4	l4-6	CacheHits	10
4	l4-6	CacheMisses	0
4	l4-7	CacheHits	27
4	l4-7	CacheMisses	1
4	l4-8	CacheHits	98
4	l4-8	CacheMisses	48
4	l4-9	CacheHits	85
